animal_type,category,suburb,date_range
Dog,Fencing Issues,ALBION,january march 2016
Other Animal,Rabbit,KENMORE HILLS,january march 2016
Dog,Fencing Issues,CHAPEL HILL,january march 2016
Dog,Fencing Issues,ALGESTER,january march 2016
Attack,Attack On A Person,WAVELL HEIGHTS,january march 2016
Dog,Fencing Issues,STAFFORD HEIGHTS,january march 2016
Attack,Menacing,COOPERS PLAINS,january march 2016
Dog,Fencing Issues,ALDERLEY,january march 2016
Cat Trapping,Fox,WESTLAKE,january march 2016
Attack,Attack On A Person,ST LUCIA,january march 2016
Cat Trapping,Fox,SPRING HILL,january march 2016
Other Animal,Nuisance Animal,SUNNYBANK HILLS,january march 2016
Dog,Fencing Issues,CHAPEL HILL,january march 2016
Dog,Fencing Issues,UPPER MOUNT GRAVATT,january march 2016
Dog,Fencing Issues,INALA,january march 2016
Attack,Not An Attack,THE GAP,january march 2016
Dog,Defecating In Public,CARSELDINE,january march 2016
Other Animal,Defecating In Public,WAVELL HEIGHTS,january march 2016
Other Animal,Fox,ASHGROVE,january march 2016
Cat,Fox,INALA,january march 2016
Other Animal,Nuisance Animal,TAIGUM,january march 2016
Dog,Fencing Issues,HENDRA,january march 2016
Attack,Not An Attack,KENMORE,january march 2016
Attack,Menacing,FOREST LAKE,january march 2016
Attack,Attack On An Animal,FOREST LAKE,january march 2016
Attack,Attack On An Animal,MANLY WEST,january march 2016
Cat,Fox,WYNNUM WEST,january march 2016
Dog,Fox,CARSELDINE,january march 2016
Attack,Not An Attack,THE GAP,january march 2016
Cat Trapping,Fox,SHORNCLIFFE,january march 2016
Attack,Fox,CARINA,january march 2016
Other Animal,Nuisance Animal,TINGALPA,january march 2016
Attack,Attack On An Animal,CHERMSIDE WEST,january march 2016
Attack,Attack On An Animal,CARSELDINE,january march 2016
Attack,Menacing,DEAGON,january march 2016
Attack,Attack On A Person,DEAGON,january march 2016
Dog,Fencing Issues,DARRA,january march 2016
Dog,Fencing Issues,CARINDALE,january march 2016
Dog,Defecating In Public,ASPLEY,january march 2016
Dog,Defecating In Public,ASPLEY,january march 2016
Dog,Fencing Issues,WESTLAKE,january march 2016
Dog,Fencing Issues,WESTLAKE,january march 2016
Cat,Fox,ELLEN GROVE,january march 2016
Dog,Fencing Issues,FITZGIBBON,january march 2016
Dog,Fencing Issues,BRIGHTON,january march 2016
Dog,Fox,BRIGHTON,january march 2016
Attack,Menacing,KEPERRA,january march 2016
Attack,Attack On A Person,TENERIFFE,january march 2016
Cat,Fox,INALA,january march 2016
Other Animal,Fox,PULLENVALE,january march 2016
Cat Trapping,Fox,YERONGA,january march 2016
Dog,Fencing Issues,KELVIN GROVE,january march 2016
Attack,Not An Attack,BRIGHTON,january march 2016
Dog,Fencing Issues,WAVELL HEIGHTS,january march 2016
Dog,Fencing Issues,STAFFORD,january march 2016
Dog,Too Many Animals,ACACIA RIDGE,january march 2016
Dog,Fencing Issues,ACACIA RIDGE,january march 2016
Cat Trapping,Fox,UPPER MOUNT GRAVATT,january march 2016
Dog,Fencing Issues,BARDON,january march 2016
Cat Trapping,Fox,ZILLMERE,january march 2016
Dog,Fencing Issues,BELLBOWRIE,january march 2016
Dog,Fencing Issues,BELLBOWRIE,january march 2016
Other Animal,Nuisance Animal,RUNCORN,january march 2016
Dog,Fencing Issues,ACACIA RIDGE,january march 2016
Dog,Fencing Issues,WACOL,january march 2016
Dog,Fencing Issues,WACOL,january march 2016
Attack,Attack On A Person,KENMORE,january march 2016
Other Animal,Odour,EAST BRISBANE,january march 2016
Dog,Fencing Issues,CAMP HILL,january march 2016
Attack,Attack On An Animal,BRACKEN RIDGE,january march 2016
Dog,Fencing Issues,SALISBURY,january march 2016
Attack,Attack On A Person,GREENSLOPES,january march 2016
Attack,Menacing,KEDRON,january march 2016
Attack,Dangerous,JAMBOREE HEIGHTS,january march 2016
Dog,Fencing Issues,THE GAP,january march 2016
Attack,Attack On A Person,BARDON,january march 2016
Attack,Attack On An Animal,UPPER KEDRON,january march 2016
Dog,Fencing Issues,ANNERLEY,january march 2016
Dog,Fencing Issues,DARRA,january march 2016
Cat Trapping,Fox,ARCHERFIELD,january march 2016
Attack,Attack On A Person,RICHLANDS,january march 2016
Attack,Menacing,MANLY WEST,january march 2016
Cat Trapping,Fox,WOOLLOONGABBA,january march 2016
Cat Trapping,Fox,CORINDA,january march 2016
Attack,Attack On An Animal,PALLARA,january march 2016
Dog,Fencing Issues,ASHGROVE,january march 2016
Attack,Menacing,MOUNT OMMANEY,january march 2016
Attack,Attack On A Person,CHERMSIDE,january march 2016
Other Animal,Defecating In Public,GORDON PARK,january march 2016
Dog,Fencing Issues,STAFFORD HEIGHTS,january march 2016
Dog,Fencing Issues,BARDON,january march 2016
Dog,Fencing Issues,STAFFORD HEIGHTS,january march 2016
Attack,Menacing,UPPER MOUNT GRAVATT,january march 2016
Attack,Attack On An Animal,GRACEVILLE,january march 2016
Dog,Fencing Issues,TARRAGINDI,january march 2016
Attack,Menacing,BANYO,january march 2016
Attack,Attack On An Animal,BRACKEN RIDGE,january march 2016
Other Animal,Nuisance Animal,DARRA,january march 2016
Dog,Fencing Issues,RED HILL,january march 2016
Other Animal,Fox,PULLENVALE,january march 2016
