animal_type,category,suburb,date_range
Other Animal,Rabbit,OXLEY,july september 2017
Cat Trapping,Fox,INALA,july september 2017
Cat Trapping,Fox,INALA,july september 2017
Dog,Fencing Issues,PINKENBA,july september 2017
Dog,Too Many Animals,DURACK,july september 2017
Dog,Defecating In Public,MITCHELTON,july september 2017
Attack,Attack On An Animal,NEW FARM,july september 2017
Attack,Attack On An Animal,BROOKFIELD,july september 2017
Attack,Attack On A Person,WISHART,july september 2017
Dog,Fencing Issues,STAFFORD HEIGHTS,july september 2017
Dog,Fencing Issues,BRACKEN RIDGE,july september 2017
Cat,Fox,ENOGGERA,july september 2017
Attack,Attack On An Animal,COORPAROO,july september 2017
Attack,Attack On An Animal,WILSTON,july september 2017
Attack,Attack On A Person,AUCHENFLOWER,july september 2017
Other Animal,Pest / Feral Animal,JAMBOREE HEIGHTS,july september 2017
Attack,Attack On An Animal,RED HILL,july september 2017
Cat,Fox,WYNNUM,july september 2017
Other Animal,Pest / Feral Animal,SEVEN HILLS,july september 2017
Other Animal,Nuisance Animal,CHANDLER,july september 2017
Attack,Attack On An Animal,CHERMSIDE WEST,july september 2017
Attack,Not An Attack,GRACEVILLE,july september 2017
Cat Trapping,Fox,ELLEN GROVE,july september 2017
Cat,Fox,CHERMSIDE,july september 2017
Attack,Attack On A Person,EIGHT MILE PLAINS,july september 2017
Attack,Attack On An Animal,ANNERLEY,july september 2017
Other Animal,Pest / Feral Animal,AUCHENFLOWER,july september 2017
Cat Trapping,Fox,CHERMSIDE WEST,july september 2017
Other Animal,Fox,CAMP HILL,july september 2017
Dog,Fencing Issues,DARRA,july september 2017
Other Animal,Nuisance Animal,BANYO,july september 2017
Dog,Fencing Issues,DARRA,july september 2017
Cat Trapping,Fox,THE GAP,july september 2017
Dog,Fencing Issues,TINGALPA,july september 2017
Attack,Menacing,KEDRON,july september 2017
Dog,Fencing Issues,WYNNUM,july september 2017
Dog,Too Many Animals,YEERONGPILLY,july september 2017
Other Animal,Deer,BROOKFIELD,july september 2017
Other Animal,Nuisance Animal,MANLY WEST,july september 2017
Cat,Fox,WISHART,july september 2017
Attack,Not An Attack,CLAYFIELD,july september 2017
Dog,Fencing Issues,SALISBURY,july september 2017
Dog,Fencing Issues,INDOOROOPILLY,july september 2017
Attack,Attack On An Animal,WINDSOR,july september 2017
Dog,Fencing Issues,MIDDLE PARK,july september 2017
Dog,Too Many Animals,KEPERRA,july september 2017
Dog,Unregistered,KEPERRA,july september 2017
Attack,Not An Attack,BOONDALL,july september 2017
Other Animal,Odour,ACACIA RIDGE,july september 2017
Attack,Attack On A Person,WAVELL HEIGHTS,july september 2017
Cat,Fox,ALGESTER,july september 2017
Attack,Attack On An Animal,MOUNT GRAVATT EAST,july september 2017
Other Animal,Pest / Feral Animal,WINDSOR,july september 2017
Dog,Defecating In Public,GRACEVILLE,july september 2017
Dog,Fencing Issues,BELMONT,july september 2017
Attack,Attack On A Person,MOOROOKA,july september 2017
Attack,Attack On An Animal,BRACKEN RIDGE,july september 2017
Other Animal,Nuisance Animal,SUNNYBANK HILLS,july september 2017
Attack,Menacing,BANYO,july september 2017
Cat Trapping,Fox,KARANA DOWNS,july september 2017
Dog,Defecating In Public,FITZGIBBON,july september 2017
Attack,Attack On A Person,SUNNYBANK HILLS,july september 2017
Dog,Fencing Issues,FOREST LAKE,july september 2017
Attack,Attack On A Person,BRIGHTON,july september 2017
Attack,Fox,SALISBURY,july september 2017
Attack,Fox,NORMAN PARK,july september 2017
Attack,Fox,ANSTEAD,july september 2017
Other Animal,Fencing Issues,BELMONT,july september 2017
Cat Trapping,Fox,MANLY,july september 2017
Attack,Attack On An Animal,GEEBUNG,july september 2017
Other Animal,Nuisance Animal,KURABY,july september 2017
Cat,Fox,HOLLAND PARK,july september 2017
Cat,Fox,HOLLAND PARK,july september 2017
Attack,Attack On An Animal,SALISBURY,july september 2017
Attack,Attack On A Person,NORMAN PARK,july september 2017
Attack,Attack On A Person,NORMAN PARK,july september 2017
Dog,Fencing Issues,BRIDGEMAN DOWNS,july september 2017
Cat,Fox,ASHGROVE,july september 2017
Dog,Unregistered,EAST BRISBANE,july september 2017
Dog,Defecating In Public,WYNNUM,july september 2017
Dog,Fencing Issues,YERONGA,july september 2017
Dog,Fencing Issues,YERONGA,july september 2017
Attack,Fox,LOTA,july september 2017
Cat,Fox,WAVELL HEIGHTS,july september 2017
Attack,Attack On An Animal,TARRAGINDI,july september 2017
Dog,Too Many Animals,BALD HILLS,july september 2017
Other Animal,Deer,FIG TREE POCKET,july september 2017
Attack,Attack On An Animal,INALA,july september 2017
Attack,Attack On A Person,MORNINGSIDE,july september 2017
Attack,Attack On A Person,ASPLEY,july september 2017
Dog,Fencing Issues,RED HILL,july september 2017
Other Animal,Fox,BELMONT,july september 2017
Cat,Fox,GREENSLOPES,july september 2017
Attack,Attack On A Person,KELVIN GROVE,july september 2017
Dog,Fencing Issues,EVERTON PARK,july september 2017
Attack,Attack On An Animal,KANGAROO POINT,july september 2017
Dog,Too Many Animals,BALD HILLS,july september 2017
Dog,Fencing Issues,ZILLMERE,july september 2017
Dog,Fencing Issues,STAFFORD HEIGHTS,july september 2017
Dog,Fencing Issues,STAFFORD HEIGHTS,july september 2017
Attack,Menacing,WAKERLEY,july september 2017
Dog,Defecating In Public,DURACK,july september 2017
Attack,Not An Attack,SANDGATE,july september 2017
Attack,Attack On A Person,ASHGROVE,july september 2017
Attack,Attack On An Animal,CORINDA,july september 2017
Attack,Fox,MOOROOKA,july september 2017
Other Animal,Fox,MORNINGSIDE,july september 2017
Dog,Fencing Issues,DARRA,july september 2017
Dog,Fox,CARINA,july september 2017
Other Animal,Nuisance Animal,THE GAP,july september 2017
Attack,Not An Attack,COORPAROO,july september 2017
Dog,Fox,SANDGATE,july september 2017
Other Animal,Fox,MORNINGSIDE,july september 2017
Dog,Fencing Issues,SANDGATE,july september 2017
Dog,Fencing Issues,BRACKEN RIDGE,july september 2017
Other Animal,Nuisance Animal,DOOLANDELLA,july september 2017
Cat Trapping,Fox,RICHLANDS,july september 2017
Attack,Attack On A Person,ALDERLEY,july september 2017
Attack,Attack On An Animal,MANLY,july september 2017
Dog,Fencing Issues,CARINDALE,july september 2017
Attack,Menacing,SUMNER,july september 2017
Attack,Attack On A Person,RIVERHILLS,july september 2017
Dog,Fencing Issues,STAFFORD HEIGHTS,july september 2017
Dog,Fencing Issues,STAFFORD HEIGHTS,july september 2017
Dog,Odour,CHERMSIDE,july september 2017
Dog,Defecating In Public,CARSELDINE,july september 2017
Cat Trapping,Fox,PARKINSON,july september 2017
Dog,Defecating In Public,DOOLANDELLA,july september 2017
Cat Trapping,Fox,DURACK,july september 2017
Attack,Attack On An Animal,BRACKEN RIDGE,july september 2017
Attack,Fox,SUNNYBANK HILLS,july september 2017
Dog,Defecating In Public,DOOLANDELLA,july september 2017
Dog,Unregistered,NA,july september 2017
Dog,Unregistered,NA,july september 2017
Other Animal,Wild Dog,UPPER BROOKFIELD,july september 2017
Dog,Fencing Issues,PINJARRA HILLS,july september 2017
Cat,Fox,INALA,july september 2017
Cat Trapping,Fox,WYNNUM WEST,july september 2017
Other Animal,Pest / Feral Animal,COOPERS PLAINS,july september 2017
Cat,Fox,MOGGILL,july september 2017
Attack,Fox,KANGAROO POINT,july september 2017
Other Animal,Fox,ANSTEAD,july september 2017
Attack,Not An Attack,CARINDALE,july september 2017
Attack,Attack On An Animal,ALDERLEY,july september 2017
Cat,Fox,GREENSLOPES,july september 2017
Dog,Fencing Issues,LOTA,july september 2017
Dog,Fox,FOREST LAKE,july september 2017
Attack,Attack On An Animal,WESTLAKE,july september 2017
Other Animal,Nuisance Animal,WINDSOR,july september 2017
Dog,Fencing Issues,STAFFORD,july september 2017
Other Animal,Nuisance Animal,WINDSOR,july september 2017
Attack,Attack On An Animal,MANSFIELD,july september 2017
Cat,Fox,THE GAP,july september 2017
Cat,Fox,THE GAP,july september 2017
Dog,Fencing Issues,STAFFORD,july september 2017
Cat,Fox,WILLAWONG,july september 2017
Cat,Fox,BALD HILLS,july september 2017
Dog,Fencing Issues,UPPER MOUNT GRAVATT,july september 2017
Dog,Fencing Issues,DREWVALE,july september 2017
Attack,Attack On A Person,DARRA,july september 2017
Dog,Odour,EVERTON PARK,july september 2017
Dog,Fencing Issues,WOOLLOONGABBA,july september 2017
Other Animal,Pest / Feral Animal,MANLY WEST,july september 2017
Dog,Fencing Issues,WISHART,july september 2017
Attack,Attack On An Animal,CHERMSIDE,july september 2017
Other Animal,Nuisance Animal,DARRA,july september 2017
Attack,Attack On An Animal,BALMORAL,july september 2017
Other Animal,Fencing Issues,CARINDALE,july september 2017
Other Animal,Nuisance Animal,VIRGINIA,july september 2017
Dog,Defecating In Public,SHERWOOD,july september 2017
Attack,Attack On A Person,ACACIA RIDGE,july september 2017
Dog,Fencing Issues,BOONDALL,july september 2017
Cat Trapping,Fox,CHELMER,july september 2017
Dog,Odour,INALA,july september 2017
Dog,Fencing Issues,SUNNYBANK HILLS,july september 2017
Attack,Attack On An Animal,BRIDGEMAN DOWNS,july september 2017
Attack,Attack On A Person,MORNINGSIDE,july september 2017
Cat Trapping,Fox,BOONDALL,july september 2017
Cat Trapping,Fox,CORINDA,july september 2017
Dog,Unregistered,CARINA,july september 2017
Attack,Attack On An Animal,INALA,july september 2017
Dog,Fox,KANGAROO POINT,july september 2017
Other Animal,Fox,ANSTEAD,july september 2017
Dog,Unregistered,CARINA HEIGHTS,july september 2017
Dog,Fencing Issues,BELMONT,july september 2017
Attack,Attack On An Animal,WOOLOOWIN,july september 2017
Dog,Fencing Issues,WAVELL HEIGHTS,july september 2017
Dog,Fencing Issues,WAVELL HEIGHTS,july september 2017
Dog,Fox,EAST BRISBANE,july september 2017
Dog,Fox,JINDALEE,july september 2017
Dog,Fencing Issues,WINDSOR,july september 2017
Cat Trapping,Fox,CARINA HEIGHTS,july september 2017
Attack,Attack On An Animal,CANNON HILL,july september 2017
Dog,Fencing Issues,HENDRA,july september 2017
Attack,Attack On A Person,EIGHT MILE PLAINS,july september 2017
Dog,Unregistered,MOUNT OMMANEY,july september 2017
Other Animal,Fox,HOLLAND PARK,july september 2017
Attack,Menacing,BRIGHTON,july september 2017
Attack,Attack On A Person,BRACKEN RIDGE,july september 2017
Cat Trapping,Fox,CARINDALE,july september 2017
Attack,Attack On An Animal,MORNINGSIDE,july september 2017
Attack,Not An Attack,BALMORAL,july september 2017
Dog,Fencing Issues,CARINDALE,july september 2017
Dog,Unregistered,CARINA,july september 2017
Attack,Attack On An Animal,NUDGEE BEACH,july september 2017
Other Animal,Fox,MOGGILL,july september 2017
Cat,Wandering,GAYTHORNE,oct dec 2018
Dog,Fencing Issues,CHAPEL HILL,oct dec 2018
Attack,Attack On A Person,ASPLEY,oct dec 2018
Attack,Fox,JAMBOREE HEIGHTS,oct dec 2018
Cat,Wandering,ASHGROVE,oct dec 2018
Other Animal,Fox,KENMORE,oct dec 2018
Cat,Wandering,MOUNT GRAVATT EAST,oct dec 2018
Cat,Wandering,ACACIA RIDGE,oct dec 2018
Attack,Attack On A Person,DARRA,oct dec 2018
Cat Trapping,Fox,WISHART,oct dec 2018
Dog,Fencing Issues,ZILLMERE,oct dec 2018
Dog,Unregistered,STAFFORD HEIGHTS,oct dec 2018
Attack,Attack On An Animal,KEPERRA,oct dec 2018
Other Animal,Nuisance Animal,FORTITUDE VALLEY,oct dec 2018
Dog,Fencing Issues,CHANDLER,oct dec 2018
Other Animal,Rabbit,GUMDALE,oct dec 2018
Cat Trapping,Fox,CARSELDINE,oct dec 2018
Attack,Fox,RUNCORN,oct dec 2018
Dog,Wandering,CAMP HILL,oct dec 2018
Dog,Unregistered,SHORNCLIFFE,oct dec 2018
Dog,Wandering,NUDGEE BEACH,oct dec 2018
Dog,Defecating In Public,DUTTON PARK,oct dec 2018
Cat,Wandering,RUNCORN,oct dec 2018
Cat Trapping,Fox,GEEBUNG,oct dec 2018
Other Animal,Fox,ASCOT,oct dec 2018
Dog,Wandering,SHERWOOD,oct dec 2018
Attack,Attack On An Animal,FERNY GROVE,oct dec 2018
Other Animal,Fox,ARCHERFIELD,oct dec 2018
Other Animal,Nuisance Animal,WYNNUM WEST,oct dec 2018
Cat,Wandering,BRACKEN RIDGE,oct dec 2018
Cat,Wandering,NORTHGATE,oct dec 2018
Dog,Wandering,MOUNT COOT-THA,oct dec 2018
Attack,Not An Attack,ASHGROVE,oct dec 2018
Attack,Fox,ZILLMERE,oct dec 2018
Dog,Wandering,CHAPEL HILL,oct dec 2018
Attack,Attack On An Animal,WYNNUM WEST,oct dec 2018
Other Animal,Fox,GUMDALE,oct dec 2018
Cat Trapping,Fox,BRISBANE CITY,oct dec 2018
Attack,Attack On A Person,FORTITUDE VALLEY,oct dec 2018
Cat,Wandering,WYNNUM,oct dec 2018
Dog,Wandering,INALA,oct dec 2018
Cat,Wandering,ARCHERFIELD,oct dec 2018
Cat Trapping,Fox,BRIGHTON,oct dec 2018
Cat,Wandering,ASPLEY,oct dec 2018
Dog,Wandering,FORTITUDE VALLEY,oct dec 2018
Dog,Wandering,PADDINGTON,oct dec 2018
Dog,Wandering,ASHGROVE,oct dec 2018
Attack,Fox,TINGALPA,oct dec 2018
Dog,Wandering,MITCHELTON,oct dec 2018
Dog,Wandering,SHERWOOD,oct dec 2018
Other Animal,Fox,TINGALPA,oct dec 2018
Cat Trapping,Fox,BOONDALL,oct dec 2018
Cat Trapping,Fox,HOLLAND PARK WEST,oct dec 2018
Attack,Attack On A Person,NUNDAH,oct dec 2018
Other Animal,Fox,PULLENVALE,oct dec 2018
Dog,Fencing Issues,KEDRON,oct dec 2018
Attack,Attack On An Animal,FAIRFIELD,oct dec 2018
Attack,Fox,ALDERLEY,oct dec 2018
Dog,Wandering,BOONDALL,oct dec 2018
Dog,Wandering,WYNNUM,oct dec 2018
Cat,Wandering,YERONGA,oct dec 2018
Other Animal,Fox,SALISBURY,oct dec 2018
Other Animal,Fox,MORNINGSIDE,oct dec 2018
Attack,Attack On An Animal,GREENSLOPES,oct dec 2018
Other Animal,Wild Dog,PULLENVALE,oct dec 2018
Attack,Attack On An Animal,SINNAMON PARK,oct dec 2018
Dog,Defecating In Public,CARINDALE,oct dec 2018
Attack,Fox,MITCHELTON,oct dec 2018
Attack,Attack On An Animal,NORTHGATE,oct dec 2018
Dog,Wandering,MANLY,oct dec 2018
Attack,Attack On An Animal,ZILLMERE,oct dec 2018
Cat Trapping,Fox,WOOLLOONGABBA,oct dec 2018
Other Animal,Wandering,CHANDLER,oct dec 2018
Dog,Wandering,WESTLAKE,oct dec 2018
Attack,Attack On A Person,ZILLMERE,oct dec 2018
Cat Trapping,Fox,ASPLEY,oct dec 2018
Dog,Fencing Issues,WACOL,oct dec 2018
Dog,Fencing Issues,MURARRIE,oct dec 2018
Attack,Fox,CARINDALE,oct dec 2018
Dog,Unregistered,FERNY GROVE,oct dec 2018
Other Animal,Wild Dog,UPPER BROOKFIELD,oct dec 2018
Dog,Defecating In Public,WYNNUM,oct dec 2018
Dog,Fencing Issues,KENMORE,oct dec 2018
Dog,Fox,INALA,oct dec 2018
Attack,Attack On A Person,UPPER MOUNT GRAVATT,oct dec 2018
Dog,Wandering,WINDSOR,oct dec 2018
Attack,Attack On An Animal,ZILLMERE,oct dec 2018
Dog,Wandering,CAMP HILL,oct dec 2018
Attack,Attack On An Animal,SHERWOOD,oct dec 2018
Dog,Fencing Issues,KHOLO,oct dec 2018
Attack,Attack On A Person,MORNINGSIDE,oct dec 2018
Other Animal,Fox,CHANDLER,oct dec 2018
Cat Trapping,Fox,KARANA DOWNS,oct dec 2018
Attack,Fox,ALDERLEY,oct dec 2018
Dog,Fencing Issues,MOUNT GRAVATT EAST,oct dec 2018
Dog,Wandering,RED HILL,oct dec 2018
Cat Trapping,Fox,EIGHT MILE PLAINS,oct dec 2018
Cat Trapping,Fox,BOONDALL,oct dec 2018
Dog,Odour,MURARRIE,oct dec 2018
Cat Trapping,Fox,HOLLAND PARK WEST,oct dec 2018
Dog,Wandering,CORINDA,oct dec 2018
Cat Trapping,Fox,OXLEY,oct dec 2018
Attack,Attack On A Person,BALD HILLS,oct dec 2018
Other Animal,Fox,MACGREGOR,oct dec 2018
Dog,Unregistered,KELVIN GROVE,oct dec 2018
Cat Trapping,Fox,ROCHEDALE,oct dec 2018
Attack,Fox,OXLEY,oct dec 2018
Dog,Odour,DREWVALE,oct dec 2018
Attack,Attack On A Person,CARSELDINE,oct dec 2018
Attack,Attack On A Person,BRIGHTON,oct dec 2018
Cat Trapping,Fox,KURABY,oct dec 2018
Dog,Wandering,BARDON,oct dec 2018
Attack,Attack On An Animal,JINDALEE,oct dec 2018
Dog,Wandering,YERONGA,oct dec 2018
Dog,Wandering,YERONGA,oct dec 2018
Cat Trapping,Fox,HOLLAND PARK,oct dec 2018
Dog,Fencing Issues,SANDGATE,oct dec 2018
Attack,Not An Attack,HOLLAND PARK,oct dec 2018
Dog,Fencing Issues,MURARRIE,oct dec 2018
Attack,Fox,ANNERLEY,oct dec 2018
Cat Trapping,Fox,CARSELDINE,oct dec 2018
Attack,Not An Attack,CAMP HILL,oct dec 2018
Cat,Wandering,STAFFORD HEIGHTS,oct dec 2018
Dog,Defecating In Public,MIDDLE PARK,oct dec 2018
Dog,Defecating In Public,FOREST LAKE,oct dec 2018
Attack,Attack On A Person,ASCOT,oct dec 2018
Attack,Menacing,WYNNUM,oct dec 2018
Attack,Fox,COOPERS PLAINS,oct dec 2018
Cat Trapping,Fox,CHANDLER,oct dec 2018
Attack,Fox,MOOROOKA,oct dec 2018
Attack,Fox,ALDERLEY,oct dec 2018
Other Animal,Fox,MOOROOKA,oct dec 2018
Attack,Not An Attack,CARINA,oct dec 2018
Cat Trapping,Fox,HOLLAND PARK,oct dec 2018
Cat Trapping,Fox,ARCHERFIELD,oct dec 2018
Cat Trapping,Fox,BROOKFIELD,oct dec 2018
Dog,Defecating In Public,BRACKEN RIDGE,oct dec 2018
Dog,Wandering,NA,oct dec 2018
Attack,Attack On A Person,JAMBOREE HEIGHTS,oct dec 2018
Dog,Wandering,CARINDALE,oct dec 2018
Attack,Menacing,STRETTON,oct dec 2018
Cat Trapping,Fox,MOOROOKA,oct dec 2018
Attack,Fox,KANGAROO POINT,oct dec 2018
Cat Trapping,Fox,SHERWOOD,oct dec 2018
Dog,Fox,FOREST LAKE,oct dec 2018
Dog,Unregistered,NA,oct dec 2018
Cat Trapping,Fox,KEDRON,oct dec 2018
Cat Trapping,Fox,BRACKEN RIDGE,oct dec 2018
Attack,Menacing,WYNNUM,oct dec 2018
Dog,Fencing Issues,RUNCORN,oct dec 2018
Dog,Wandering,WAKERLEY,oct dec 2018
Dog,Wandering,BALD HILLS,oct dec 2018
Dog,Wandering,BALD HILLS,oct dec 2018
Attack,Fox,LOTA,oct dec 2018
Dog,Wandering,PADDINGTON,oct dec 2018
Cat,Wandering,ANNERLEY,oct dec 2018
Attack,Attack On An Animal,BRIGHTON,oct dec 2018
Dog,Fencing Issues,FIG TREE POCKET,oct dec 2018
Cat,Fox,HAWTHORNE,oct dec 2018
Attack,Fox,THE GAP,oct dec 2018
Dog,Wandering,HAMILTON,oct dec 2018
Other Animal,Fox,MOUNT GRAVATT,oct dec 2018
Attack,Attack On A Person,BRIGHTON,oct dec 2018
Dog,Wandering,MCDOWALL,oct dec 2018
Dog,Wandering,MILTON,oct dec 2018
Dog,Wandering,MILTON,oct dec 2018
Dog,Unregistered,HAWTHORNE,oct dec 2018
Attack,Attack On An Animal,ASPLEY,oct dec 2018
Cat Trapping,Fox,BALMORAL,oct dec 2018
Other Animal,Nuisance Animal,ELLEN GROVE,oct dec 2018
Other Animal,Wild Dog,UPPER BROOKFIELD,oct dec 2018
Dog,Fencing Issues,PADDINGTON,oct dec 2018
Attack,Attack On An Animal,DUTTON PARK,oct dec 2018
Attack,Fox,MITCHELTON,oct dec 2018
Dog,Too Many Animals,NORMAN PARK,oct dec 2018
Dog,Wandering,KEDRON,oct dec 2018
Dog,Wandering,INALA,oct dec 2018
Dog,Wandering,HAMILTON,oct dec 2018
Dog,Unregistered,CORINDA,oct dec 2018
Dog,Fencing Issues,DARRA,oct dec 2018
Attack,Fox,CARINA HEIGHTS,oct dec 2018
Cat,Wandering,WYNNUM WEST,oct dec 2018
Dog,Fencing Issues,SANDGATE,oct dec 2018
Dog,Wandering,EVERTON PARK,oct dec 2018
Attack,Fox,CAMP HILL,oct dec 2018
Dog,Fencing Issues,BRACKEN RIDGE,oct dec 2018
Dog,Fencing Issues,BRACKEN RIDGE,oct dec 2018
Other Animal,Fox,WYNNUM,oct dec 2018
Cat,Wandering,JINDALEE,oct dec 2018
Dog,Wandering,SHERWOOD,oct dec 2018
Cat Trapping,Fox,TINGALPA,oct dec 2018
Attack,Fox,PINJARRA HILLS,oct dec 2018
Dog,Unregistered,BOWEN HILLS,oct dec 2018
Cat Trapping,Fox,COORPAROO,oct dec 2018
Cat,Wandering,RICHLANDS,oct dec 2018
Dog,Unregistered,KEPERRA,oct dec 2018
Dog,Wandering,MCDOWALL,oct dec 2018
Attack,Fox,WOOLOOWIN,oct dec 2018
Dog,Fencing Issues,INALA,oct dec 2018
Attack,Fox,TINGALPA,oct dec 2018
Dog,Wandering,WAVELL HEIGHTS,oct dec 2018
Cat,Wandering,THE GAP,oct dec 2018
Other Animal,Fox,TARRAGINDI,oct dec 2018
Dog,Fencing Issues,UPPER MOUNT GRAVATT,oct dec 2018
Dog,Fencing Issues,HOLLAND PARK,oct dec 2018
Cat,Wandering,GRACEVILLE,oct dec 2018
Cat,Wandering,ASHGROVE,oct dec 2018
Dog,Wandering,MCDOWALL,oct dec 2018
Cat,Wandering,NORTHGATE,oct dec 2018
Dog,Wandering,CAMP HILL,oct dec 2018
Dog,Wandering,NUNDAH,oct dec 2018
Cat,Wandering,NEWMARKET,oct dec 2018
Other Animal,Fox,KARANA DOWNS,oct dec 2018
Other Animal,Fox,KARANA DOWNS,oct dec 2018
Other Animal,Fox,GRACEVILLE,oct dec 2018
Cat,Fox,NORTHGATE,oct dec 2018
Dog,Too Many Animals,SANDGATE,oct dec 2018
Dog,Defecating In Public,ROBERTSON,oct dec 2018
Dog,Wandering,AUCHENFLOWER,oct dec 2018
Dog,Defecating In Public,SHORNCLIFFE,oct dec 2018
Other Animal,Fox,TARRAGINDI,oct dec 2018
Other Animal,Fox,WAKERLEY,oct dec 2018
Dog,Fencing Issues,ELLEN GROVE,oct dec 2018
Attack,Menacing,DARRA,oct dec 2018
Dog,Odour,CARINDALE,oct dec 2018
Dog,Unregistered,INALA,oct dec 2018
Attack,Attack On A Person,ASPLEY,oct dec 2018
Dog,Unregistered,DARRA,oct dec 2018
Dog,Unregistered,NA,oct dec 2018
Dog,Fox,NUDGEE,oct dec 2018
Dog,Unregistered,ACACIA RIDGE,oct dec 2018
Dog,Fencing Issues,SANDGATE,oct dec 2018
Dog,Defecating In Public,CHERMSIDE,oct dec 2018
Other Animal,Nuisance Animal,ACACIA RIDGE,oct dec 2018
Dog,Unregistered,SALISBURY,oct dec 2018
Dog,Wandering,SHERWOOD,oct dec 2018
Attack,Not An Attack,SUNNYBANK HILLS,oct dec 2018
Other Animal,Too Many Animals,WYNNUM WEST,oct dec 2018
Attack,Attack On A Person,FOREST LAKE,oct dec 2018
Dog,Wandering,ACACIA RIDGE,oct dec 2018
Other Animal,Fox,KALINGA,oct dec 2018
Dog,Fencing Issues,WYNNUM,oct dec 2018
Dog,Defecating In Public,PETRIE TERRACE,oct dec 2018
Attack,Menacing,ELLEN GROVE,oct dec 2018
Attack,Fox,ANNERLEY,oct dec 2018
Cat,Wandering,ANNERLEY,oct dec 2018
Cat,Wandering,ARCHERFIELD,oct dec 2018
Attack,Not An Attack,GREENSLOPES,oct dec 2018
Cat Trapping,Fox,BALMORAL,oct dec 2018
Cat Trapping,Fox,COOPERS PLAINS,oct dec 2018
Other Animal,Fox,WACOL,oct dec 2018
Dog,Wandering,HEMMANT,oct dec 2018
Attack,Attack On An Animal,SALISBURY,oct dec 2018
Attack,Fox,WILLAWONG,oct dec 2018
Dog,Fencing Issues,NORMAN PARK,oct dec 2018
Dog,Wandering,GRANGE,oct dec 2018
Attack,Attack On An Animal,NUDGEE,oct dec 2018
Cat,Wandering,THE GAP,oct dec 2018
Other Animal,Nuisance Animal,GAYTHORNE,oct dec 2018
Cat Trapping,Fox,INDOOROOPILLY,oct dec 2018
Dog,Fencing Issues,SINNAMON PARK,oct dec 2018
Cat Trapping,Fox,BROOKFIELD,oct dec 2018
Cat,Wandering,WYNNUM,oct dec 2018
Cat,Wandering,WYNNUM,oct dec 2018
Other Animal,Fox,RANSOME,oct dec 2018
Dog,Wandering,WAKERLEY,oct dec 2018
Other Animal,Nuisance Animal,CLAYFIELD,oct dec 2018
Cat,Wandering,THE GAP,oct dec 2018
Cat,Wandering,THE GAP,oct dec 2018
Cat,Wandering,THE GAP,oct dec 2018
Cat,Wandering,THE GAP,oct dec 2018
Cat,Wandering,THE GAP,oct dec 2018
Cat,Wandering,THE GAP,oct dec 2018
Cat,Wandering,THE GAP,oct dec 2018
Cat Trapping,Fox,COOPERS PLAINS,oct dec 2018
Cat,Wandering,YERONGA,oct dec 2018
Other Animal,Deer,PULLENVALE,oct dec 2018
Dog,Wandering,NEW FARM,oct dec 2018
Cat Trapping,Fox,BRIGHTON,oct dec 2018
Cat,Wandering,THE GAP,oct dec 2018
Cat,Wandering,THE GAP,oct dec 2018
Cat,Wandering,THE GAP,oct dec 2018
Attack,Fox,PADDINGTON,oct dec 2018
Dog,Fencing Issues,DARRA,oct dec 2018
Dog,Fencing Issues,ACACIA RIDGE,oct dec 2018
Attack,Attack On An Animal,HENDRA,oct dec 2018
Other Animal,Fox,HERSTON,oct dec 2018
Dog,Fencing Issues,CARINDALE,oct dec 2018
Attack,Attack On A Person,ASCOT,oct dec 2018
Cat Trapping,Fox,SUNNYBANK,oct dec 2018
Cat,Wandering,NORTHGATE,oct dec 2018
Cat Trapping,Fox,ASPLEY,oct dec 2018
Attack,Not An Attack,KENMORE,oct dec 2018
Other Animal,Fox,BELMONT,oct dec 2018
Dog,Wandering,NUDGEE BEACH,oct dec 2018
Other Animal,Pest / Feral Animal,OXLEY,oct dec 2018
Dog,Wandering,WYNNUM WEST,oct dec 2018
Dog,Unregistered,NA,oct dec 2018
Other Animal,Fox,CORINDA,oct dec 2018
Other Animal,Deer,BROOKFIELD,oct dec 2018
Attack,Attack On An Animal,STONES CORNER,oct dec 2018
Dog,Wandering,YERONGA,oct dec 2018
Attack,Fox,COORPAROO,oct dec 2018
Attack,Fox,RANSOME,oct dec 2018
Dog,Wandering,YERONGA,oct dec 2018
Dog,Wandering,TINGALPA,oct dec 2018
Dog,Fencing Issues,TINGALPA,oct dec 2018
Other Animal,Fox,GEEBUNG,oct dec 2018
Dog,Wandering,VIRGINIA,oct dec 2018
Dog,Fencing Issues,ZILLMERE,oct dec 2018
Attack,Fox,MANLY WEST,oct dec 2018
Cat Trapping,Fox,NORTHGATE,oct dec 2018
Other Animal,Wild Dog,KHOLO,oct dec 2018
Attack,Attack On A Person,KEDRON,oct dec 2018
Attack,Menacing,BULIMBA,oct dec 2018
Cat,Wandering,PADDINGTON,oct dec 2018
Dog,Unregistered,NUDGEE,oct dec 2018
Dog,Unregistered,NUDGEE,oct dec 2018
Cat,Wandering,SALISBURY,oct dec 2018
Other Animal,Fox,CHANDLER,oct dec 2018
Dog,Odour,GAYTHORNE,oct dec 2018
Dog,Unregistered,STAFFORD,oct dec 2018
Cat Trapping,Fox,FOREST LAKE,oct dec 2018
Attack,Attack On A Person,MOUNT GRAVATT EAST,oct dec 2018
Attack,Attack On An Animal,CARINDALE,oct dec 2018
